Aurora 5.0 - ISO3382 Acoustical Parameter File
ISO 3382  OCTAVE BAND ACOUSTICAL PARAMETERS

Channel 1 Parameters

Filename	Frq.band [Hz]	31.5	63	125	250	500	1000	2k	4k	8k	16k	A	Lin
sweet_spot_L_IR_gui	Signal	14.595	46.655	63.280	61.593	65.310	64.852	66.530	72.391	76.299	79.391	64.571	 80.809
sweet_spot_L_IR_gui	Noise	-21.491	16.702	12.887	8.716	4.263	2.911	1.455	3.905	4.032	8.723	4.336	 19.631
sweet_spot_L_IR_gui	strenGth	14.595	46.655	63.280	61.593	65.310	64.852	66.530	72.391	76.299	79.391	64.571	 80.809
sweet_spot_L_IR_gui	C50	14.812	1.311	13.412	12.835	13.658	16.025	15.040	16.875	17.557	21.431	14.390	 17.744
sweet_spot_L_IR_gui	C80	20.067	5.741	19.428	20.068	21.526	21.294	22.310	23.042	25.281	31.054	21.300	 24.811
sweet_spot_L_IR_gui	D50	96.803	57.490	95.640	95.052	95.871	97.563	96.962	97.988	98.275	99.286	96.362	 98.347
sweet_spot_L_IR_gui	Ts	28.931	68.937	25.768	17.356	19.238	11.842	8.459	7.210	5.466	3.704	14.224	  5.801
sweet_spot_L_IR_gui	EDT	0.313	0.760	0.190	0.200	0.217	0.242	0.272	0.239	0.307	0.434	0.232	  0.274
sweet_spot_L_IR_gui	Tuser	0.969	0.316	0.612	0.529	0.268	0.250	0.256	0.257	0.239	0.197	0.326	  0.259
sweet_spot_L_IR_gui	T20	0.401	0.396	0.329	0.300	0.260	0.257	0.253	0.250	0.238	0.193	0.268	  0.236
sweet_spot_L_IR_gui	T30	0.433	0.355	0.378	0.318	0.265	0.247	0.248	0.256	0.237	0.192	0.269	  0.244
sweet_spot_L_IR_gui	Peakiness	22.650	18.313	23.372	25.787	26.504	31.945	36.282	39.393	41.809	43.598	30.129	 42.349
sweet_spot_L_IR_gui	Millisecondness	22.125	18.057	22.462	23.539	23.286	28.193	30.410	31.140	32.002	32.286	26.357	 30.301
sweet_spot_L_IR_gui	Impulsiveness	16.312	12.815	17.130	17.195	17.179	17.402	17.371	17.501	17.517	17.596	17.287	 17.512

RTU = RT User (-5.0 dB, -45.0 dB)

Channel 2 Parameters

Filename	Frq.band [Hz]	31.5	63	125	250	500	1000	2k	4k	8k	16k	A	Lin
IR_Sweet_spot_L_aurora	Signal	8.448	40.730	57.347	55.660	59.376	58.919	60.597	66.458	70.366	73.458	58.638	 74.876
IR_Sweet_spot_L_aurora	Noise	-27.217	10.975	6.996	2.798	-1.788	-2.222	-4.616	-2.059	-1.954	2.743	-1.457	 13.852
IR_Sweet_spot_L_aurora	strenGth	8.448	40.730	57.347	55.660	59.376	58.919	60.597	66.458	70.366	73.458	58.638	 74.876
IR_Sweet_spot_L_aurora	C50	14.466	1.322	13.411	12.835	13.658	16.025	15.040	16.875	17.557	21.431	14.390	 17.744
IR_Sweet_spot_L_aurora	C80	19.692	5.748	19.428	20.069	21.526	21.294	22.310	23.042	25.281	31.054	21.300	 24.811
IR_Sweet_spot_L_aurora	D50	96.548	57.555	95.639	95.052	95.871	97.563	96.962	97.988	98.275	99.286	96.362	 98.347
IR_Sweet_spot_L_aurora	Ts	28.747	68.803	25.769	17.355	19.238	11.842	8.459	7.210	5.466	3.704	14.223	  5.801
IR_Sweet_spot_L_aurora	EDT	0.335	0.761	0.190	0.200	0.217	0.242	0.272	0.239	0.307	0.434	0.232	  0.274
IR_Sweet_spot_L_aurora	Tuser	0.939	0.322	0.612	0.529	0.268	0.249	0.256	0.257	0.239	0.197	0.326	  0.259
IR_Sweet_spot_L_aurora	T20	0.399	0.395	0.329	0.300	0.260	0.257	0.253	0.250	0.238	0.193	0.268	  0.236
IR_Sweet_spot_L_aurora	T30	0.412	0.354	0.378	0.318	0.265	0.247	0.248	0.256	0.237	0.192	0.269	  0.244
IR_Sweet_spot_L_aurora	Peakiness	23.151	18.284	23.371	25.786	26.504	31.945	36.282	39.393	41.809	43.598	30.129	 42.349
IR_Sweet_spot_L_aurora	Millisecondness	22.791	18.020	22.500	23.578	23.329	28.066	30.408	31.125	32.001	32.285	26.345	 31.330
IR_Sweet_spot_L_aurora	Impulsiveness	16.482	12.812	17.130	17.195	17.179	17.402	17.371	17.501	17.518	17.596	17.287	 17.512

RTU = RT User (-5.0 dB, -45.0 dB)

