Aurora 5.0 - ISO3382 Acoustical Parameter File
ISO 3382  OCTAVE BAND ACOUSTICAL PARAMETERS

Channel 1 Parameters

Filename	Frq.band [Hz]	31.5	63	125	250	500	1000	2k	4k	8k	16k	A	Lin
IR_Sweet_spot_L_aurora	Signal	8.770	40.696	57.352	55.642	59.385	58.914	60.601	66.458	70.368	73.452	58.635	 74.875
IR_Sweet_spot_L_aurora	Noise	-27.231	10.952	6.991	2.707	-1.791	-2.365	-4.642	-2.096	-1.985	2.710	-1.523	 13.819
IR_Sweet_spot_L_aurora	strenGth	8.770	40.696	57.352	55.642	59.385	58.914	60.601	66.458	70.368	73.452	58.635	 74.875
IR_Sweet_spot_L_aurora	C50	14.776	1.279	13.417	12.816	13.667	16.020	15.045	16.875	17.559	21.426	14.387	 17.744
IR_Sweet_spot_L_aurora	C80	19.839	5.714	19.434	20.050	21.534	21.289	22.314	23.042	25.283	31.049	21.297	 24.811
IR_Sweet_spot_L_aurora	D50	96.778	57.309	95.646	95.031	95.879	97.560	96.965	97.988	98.276	99.285	96.359	 98.347
IR_Sweet_spot_L_aurora	Ts	30.036	69.250	25.736	17.400	19.205	11.856	8.450	7.210	5.464	3.708	14.228	  5.801
IR_Sweet_spot_L_aurora	EDT	0.317	0.757	0.190	0.200	0.217	0.242	0.272	0.239	0.307	0.434	0.233	  0.274
IR_Sweet_spot_L_aurora	Tuser	0.901	0.322	0.611	0.532	0.268	0.249	0.256	0.257	0.239	0.197	0.326	  0.259
IR_Sweet_spot_L_aurora	T20	0.403	0.395	0.329	0.300	0.260	0.257	0.253	0.250	0.238	0.193	0.268	  0.236
IR_Sweet_spot_L_aurora	T30	0.434	0.353	0.378	0.318	0.265	0.247	0.248	0.256	0.237	0.192	0.269	  0.244
IR_Sweet_spot_L_aurora	Peakiness	22.353	18.135	23.333	25.729	26.471	31.910	36.247	39.358	41.778	43.567	30.089	 42.318
IR_Sweet_spot_L_aurora	Millisecondness	21.734	17.834	22.760	24.014	22.805	28.149	31.124	31.017	29.342	31.967	26.523	 31.511
IR_Sweet_spot_L_aurora	Impulsiveness	16.260	12.795	17.097	17.162	17.145	17.375	17.335	17.466	17.481	17.566	17.254	 17.483

RTU = RT User (-5.0 dB, -45.0 dB)

Channel 2 Parameters

Filename	Frq.band [Hz]	31.5	63	125	250	500	1000	2k	4k	8k	16k	A	Lin
sweet_spot_L_IR	Signal	8.780	40.718	57.345	55.662	59.381	58.908	60.604	66.456	70.369	73.452	58.639	 74.875
sweet_spot_L_IR	Noise	-27.217	10.953	6.990	2.708	-1.790	-2.372	-4.643	-2.096	-1.984	2.710	-1.524	 13.822
sweet_spot_L_IR	strenGth	8.780	40.718	57.345	55.662	59.381	58.908	60.604	66.456	70.369	73.452	58.639	 74.875
sweet_spot_L_IR	C50	14.858	1.305	13.410	12.838	13.663	16.014	15.048	16.873	17.560	21.426	14.391	 17.744
sweet_spot_L_IR	C80	19.943	5.737	19.426	20.071	21.530	21.283	22.317	23.041	25.285	31.049	21.300	 24.811
sweet_spot_L_IR	D50	96.836	57.455	95.639	95.055	95.875	97.557	96.967	97.987	98.276	99.285	96.364	 98.347
sweet_spot_L_IR	Ts	29.251	68.949	25.775	17.348	19.222	11.869	8.445	7.212	5.462	3.708	14.221	  5.801
sweet_spot_L_IR	EDT	0.313	0.760	0.190	0.200	0.217	0.242	0.272	0.239	0.306	0.434	0.232	  0.274
sweet_spot_L_IR	Tuser	0.888	0.322	0.612	0.529	0.268	0.249	0.256	0.257	0.239	0.197	0.326	  0.259
sweet_spot_L_IR	T20	0.405	0.395	0.329	0.300	0.260	0.257	0.253	0.250	0.238	0.193	0.268	  0.236
sweet_spot_L_IR	T30	0.439	0.354	0.378	0.318	0.265	0.247	0.248	0.256	0.237	0.192	0.269	  0.244
sweet_spot_L_IR	Peakiness	22.770	18.240	23.343	25.759	26.470	31.902	36.247	39.357	41.778	43.567	30.094	 42.318
sweet_spot_L_IR	Millisecondness	22.364	17.956	22.807	24.077	22.823	28.041	31.120	31.018	30.146	31.989	26.515	 31.511
sweet_spot_L_IR	Impulsiveness	16.213	12.769	17.097	17.165	17.144	17.374	17.334	17.466	17.482	17.566	17.254	 17.483

RTU = RT User (-5.0 dB, -45.0 dB)

